Label,URL
"Andreas Alexander, Mathemalogium prime partis (Leipzig, 1504)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP7997/manifest
"Mattheus Beroaldus, Chronicum (Geneva, 1575)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCPD1266/manifest
"George Buchanan, Ane Detectioun (London, 1571)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonRB16th12/manifest
"George Buchanan, De Maria Scotorum Regina (London, 1571?)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonRB16th11/manifest
"Gerolamo Cardano, Libelli Quinque (Nuremberg, 1547)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP7134/manifest
"Baldassare Castiglione, Il cortegiano (Venice, 1541)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/UclCastiglione1541/manifest
"Baldassare Castiglione, The covrtyer (London, 1561)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/Newberry27495/manifest
"Marcus Tullius Cicero, Opera (vol. 1, Paris, 1539)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10549-50v1/manifest
"Marcus Tullius Cicero, Opera (vol. 2, Paris, 1539)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10549-50v2/manifest
"Fernando Colon, Historie del S. D. Fernando Colombo (Venice, 1571)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/BL615d7/manifest
"Paulus Crusius, Doctrina revolutionum solis (Jena, 1567)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/BL531k6/manifest
" Lodovico Domenichi, Facetie (Venice, 1571) & Lodovico Guicciardini, Detti et Fatti (Venice, 1571)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/FolgersHa2/manifest
"Gerhard Dorn, Chymisticum artificium (Frankfurt (?), 1568)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/NYSLWin86/manifest
"Euclid, Euclidis elementorum (Paris, 1557)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/BLC122bb35/manifest
"Johannes Freigius, Paratitla pandectarum (Basel, 1583)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonK6233/manifest
"Sextus Julius Frontinus, Strategemes of warre (London, 1539)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/HoughtonSTC11402/manifest
"Niccolò Machiavelli, Art of warre (London, 1573)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonU101/manifest
"Olaus Magnus, Historia de gentibus (Rome, 1555)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonDL45/manifest
"Julius Firmicus Maternus, Astronomicon (Basel, 1533)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/UCLOgden/manifest
"Philip Melanchthon, Selectarum declamationum (Strasbourg, 1564-67)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonPA8550/manifest
"Antoine Mizauld, Planetologia (Leiden, 1551)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP7831-1/manifest
"Geoffrey of Monmouth, Brittaniae vtriusque regum (Paris, 1517)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/ChChWb512/manifest
"Ovid, Amatoria (Paris, 1529)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP9986-1/manifest
"Johannes Pantheus, Voarchadumia (Venice, 1530)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/BLC120b4/manifest
"Paracelsus, Baderbuchlin (Mülhausen, 1562)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/NYSLWin189/manifest
"Paracelsus, Das buch meteororvm (Cologne, 1566)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/NYSLWin188/manifest
"Matthew Paris, Flores Historiarum (London, 1570)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10653/manifest
"Titus Livius, Romanae historiae principis (Basel, 1555)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonPA6452/manifest
"Pliny the Elder, Naturalis historiae (Würzburg, 1548)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP9978/manifest
"Guillaume Postel, De originibus (Basel, 1553)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10601/manifest
"Quintilian, Institutionum oratoriarum (Lyon, 1540)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10106/manifest
"Jacobo a Saa, De navigatione (Paris, 1549)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/CULR527/manifest
"Thomas Smith, De linguæ Anglicæ (Paris, 1568)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonPE1137/manifest
"Thomas Tusser, Pointes of good husbandrie (London, 1580)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/PrincetonRB16th99a/manifest
"Thomas Walsingham, Historia brevis (London, 1574) & Thomas Walsingham, Ypodigma (London, 1574)",https://jdm.library.jhu.edu/iiif-pres-aor/aor/RCP10552-2/manifest
